;JR;id;genus;species;gensp;sex;svl;femur;tib;tarsus;foot;head.length;head.width;humerus;radioulna;hand;fing.pad.L;fing.pad.W;toe.pad.L;toe.pad.W;fing.area;toe.area;HL.Webbing;ecomorph
440;JR367;526;Cophixalus;verrucosus;Cophixalus verrucosus;m;11.93;5.59;6.36;3.47;5.83;2.9;4.52;4.26;2.61;3.34;0.53;0.8;0.47;0.66;1.18064;0.974028;0;scansorial
441;JR368;586;Cophixalus;verrucosus;Cophixalus verrucosus;m;18.43;8.06;9.28;5.75;9.25;5.48;5.7;4.93;4.35;5.41;0.52;1.03;0.54;0.79;1.746468;1.339524;0;scansorial
444;JR370;566;Cophixalus;verrucosus;Cophixalus verrucosus;m;22.29;10.14;11.98;6.99;10.72;7.43;8.17;5.75;4.93;6.54;0.6;1.07;0.4;0.91;1.34392;1.14296;0;scansorial
495;JR418;588;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.53;10.13;11.27;6.67;10.87;7.26;7.04;6.23;3.9;6.11;0.6;1.1;0.66;1.07;2.27964;2.217468;0;scansorial
498;JR420;564;Cophixalus;verrucosus;Cophixalus verrucosus;m;21.1;10.69;11.97;6.91;9.83;6.59;7.16;5.89;4.38;6.1;0.6;0.97;0.59;0.97;1.797022;1.797022;0;scansorial
500;JR422;584;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.72;10.2;11.41;6.84;10.57;7.37;7.36;5.96;4.94;6.09;0.66;1.09;0.68;0.96;2.327368;2.049792;0;scansorial
204;JR102;218;Copiula;sp;Copiula sp;m;23.45;11.2;11.99;7.7;11.69;8.12;9.06;7.26;5.87;5.08;0.43;0.59;0.56;0.76;1.037456;1.336384;0;terrestrial
208;JR106;277;Copiula;sp;Copiula sp;m;16.76;7.95;8.13;5.09;7.61;4.73;5.56;4.95;4.44;4.3;0.5;0.81;0.34;0.57;0.864756;0.608532;0;terrestrial
209;JR107;215;Copiula;sp;Copiula sp;m;24.8;11.58;12.9;8.09;13.66;7.81;9.03;7.02;6.12;6.01;0.37;0.57;0.76;0.99;1.360248;2.362536;0;terrestrial
218;JR121;229;Copiula;sp;Copiula sp;m;25.75;12.21;12.15;7.7;10.92;7.17;8.65;7.02;4.59;5.42;0.47;0.48;0.56;0.67;0.844032;1.178128;0;terrestrial
226;JR136;225;Copiula;sp;Copiula sp;m;25.81;13.03;13.25;8.55;12.24;7.23;8.36;7.74;5.84;5.88;0.31;0.47;0.57;0.92;0.841206;1.646616;0;terrestrial
232;JR148;283;Copiula;sp;Copiula sp;m;19.36;9.19;10.03;6.14;9.35;6.22;6.72;5.46;4.06;4.7;0.32;0.38;0.44;0.79;0.525008;1.091464;0;terrestrial
244;JR16;309;Copiula;sp;Copiula sp;m;24.39;12.6;12.95;8.1;13.41;7.7;9.23;6.64;5.84;6;0.76;0.73;0.8;1.05;1.83376;2.6376;0;terrestrial
320;JR25;197;Copiula;sp;Copiula sp;m;23.5;12.34;12.36;7.63;12.36;7.26;8.29;7.07;4.78;5.8;0.66;0.79;0.84;1.01;2.083704;2.663976;0;terrestrial
367;JR3;293;Copiula;sp;Copiula sp;f;24.36;12.05;12.93;8.09;13.34;6.82;9.01;7.34;5.34;6.25;0.66;0.57;0.53;0.9;0.948594;1.49778;0;terrestrial
421;JR35;303;Copiula;sp;Copiula sp;m;25.26;11.78;13.21;8.28;13.71;8.24;9.44;7.5;5.38;6.19;0.6;0.58;0.68;1.17;1.238416;2.498184;0;terrestrial
464;JR39;330;Copiula;sp;Copiula sp;f;17.42;9.21;9.62;5.91;8.35;6.31;6.96;5.31;4.21;4.04;0.23;0.35;0.42;0.61;0.46158;0.804468;0;terrestrial
512;JR51;257;Copiula;sp;Copiula sp;m;23.99;11.65;12.22;7.42;11.93;8.17;8.57;6.68;5.17;5.38;0.55;0.61;0.93;1.08;1.781322;3.153816;0;terrestrial
529;JR68;209;Copiula;sp;Copiula sp;m;25.79;11.8;12.99;8.36;11.1;7.77;8.99;7.07;5.7;5.98;0.44;0.72;0.57;0.96;1.288656;1.718208;0;terrestrial
532;JR70;200;Copiula;sp;Copiula sp;m;23.1;12.1;12.69;7.65;12.44;7.64;9.03;7.81;5.44;6.01;0.32;0.55;0.46;0.93;0.79442;1.343292;0;terrestrial
540;JR78;334;Copiula;sp;Copiula sp;m;24.31;12.49;13.63;8.41;12.24;7.91;8.89;7.12;5.17;5.83;0.48;0.63;0.69;1.15;1.364958;2.49159;0;terrestrial
549;JR89;199;Copiula;sp;Copiula sp;m;25.14;12.72;12.44;7.83;12.84;6.96;8.26;7.05;5.72;5.73;0.56;0.66;0.68;0.92;1.409232;1.964384;0;terrestrial
553;JR92;222;Copiula;sp;Copiula sp;m;23.97;11.56;12.33;7.42;11.81;7.26;9.11;7.38;5.95;5.79;0.64;0.7;0.58;1.01;1.27484;1.839412;0;terrestrial
554;JR93;282;Copiula;sp;Copiula sp;m;24.16;11.87;12.26;7.46;12.02;7.37;8.62;7.01;5.86;5.77;0.32;0.48;0.64;0.9;0.964608;1.80864;0;terrestrial
558;JR97;284;Copiula;sp;Copiula sp;m;21.52;12.43;12.7;8.06;12.38;8.46;8.79;6.65;5.81;5.48;0.38;0.62;0.46;0.93;0.895528;1.343292;0;terrestrial
559;JR98;247;Copiula;sp;Copiula sp;m;24.3;11.64;12.67;8.13;10.83;7.05;8.32;7.12;5.15;5.81;0.32;0.41;0.51;0.76;0.656574;1.217064;0;terrestrial
145;242309;52;Genyophryne;thomsoni;Genyophryne thomsoni;m;28.46;12.32;10.82;6.81;12.97;8.93;13.3;7.32;4.95;5.81;0.68;0.74;1.1;1.13;2.55596;3.90302;0;fossorial
146;242310;56;Genyophryne;thomsoni;Genyophryne thomsoni;m;21.26;8.68;8.34;5.66;8.86;6.47;9.71;5.28;4.15;4.84;0.66;0.36;0.81;0.78;0.915624;1.983852;0;fossorial
147;242311;54;Genyophryne;thomsoni;Genyophryne thomsoni;f;34.26;15.08;12.75;8.58;13.37;10.38;14.98;7.72;6.17;6.96;0.73;0.91;1.22;1.31;3.486028;5.018348;0;fossorial
148;242312;55;Genyophryne;thomsoni;Genyophryne thomsoni;m;29.73;13.17;11.11;7.63;13.02;9.28;12.69;7.55;5.94;6.75;0.59;0.49;1.23;1.05;1.892478;4.05531;0;fossorial
149;242313;70;Genyophryne;thomsoni;Genyophryne thomsoni;m;28.99;13.52;11.11;7.55;12.71;9.53;12.94;7.82;5.44;6.38;0.78;0.8;0.86;0.96;2.16032;2.592384;0;fossorial
150;242314;153;Genyophryne;thomsoni;Genyophryne thomsoni;m;30.67;13.46;11.18;7.7;13.5;9.2;12.76;7.65;6.97;7.5;0.61;0.74;0.96;1.18;2.230656;3.556992;0;fossorial
263;JR182;381;Genyophryne;thomsoni;Genyophryne thomsoni;m;34.9;14.78;12.09;8.33;15.77;11.95;17.87;9.55;6.69;7.9;0.68;0.71;0.94;1.13;2.095636;3.335308;0;fossorial
264;JR183;376;Genyophryne;thomsoni;Genyophryne thomsoni;m;36.98;13.76;12.35;8.66;14.77;10.85;17.76;8.85;6.29;7.72;0.66;0.72;1.03;1.21;2.328624;3.913382;0;fossorial
265;JR185;372;Genyophryne;thomsoni;Genyophryne thomsoni;m;35.13;13.8;11.98;7.82;14.45;12.13;16.63;8.57;6.28;7.71;0.76;0.75;0.77;0.83;1.81335;2.006774;0;fossorial
268;JR188;371;Genyophryne;thomsoni;Genyophryne thomsoni;m;35.04;14.46;11.55;8.15;14.3;11.28;17.06;9.05;6.47;7.22;0.73;0.74;0.83;0.99;1.928588;2.580138;0;fossorial
273;JR195;428;Genyophryne;thomsoni;Genyophryne thomsoni;m;36.29;15.31;12.58;8.89;15.16;12.55;19.06;9.05;6.32;7.48;0.6;0.66;0.87;1;1.802988;2.7318;0;fossorial
283;JR203;429;Genyophryne;thomsoni;Genyophryne thomsoni;m;35.94;15.11;12.39;8.05;15.99;11.19;17.77;8.89;6.24;7.86;0.45;0.56;0.86;0.97;1.512224;2.619388;0;fossorial
297;JR224;427;Genyophryne;thomsoni;Genyophryne thomsoni;m;36.25;15.3;12.34;8.99;14.59;10.81;18.11;8.24;5.94;7.11;0.54;0.63;0.91;1.04;1.800162;2.971696;0;fossorial
316;JR246;459;Genyophryne;thomsoni;Genyophryne thomsoni;m;34.88;13.4;12.14;8.42;14.46;11.03;17.65;8.82;6.02;7.67;0.65;0.58;0.74;0.85;1.347688;1.97506;0;fossorial
319;JR249;460;Genyophryne;thomsoni;Genyophryne thomsoni;m;27.87;11.61;9.66;6.87;11.47;8.65;14;6.81;4.85;5.56;0.34;0.52;0.64;0.75;1.044992;1.5072;0;fossorial
369;JR300;624;Genyophryne;thomsoni;Genyophryne thomsoni;m;29.25;13.2;10.57;6.99;12.73;8.79;13.3;7.23;4.42;6.29;0.6;0.64;0.66;0.93;1.326336;1.927332;0;fossorial
370;JR301;625;Genyophryne;thomsoni;Genyophryne thomsoni;m;27.43;12.99;10.36;6.79;11.64;9.08;13.99;7.98;6.52;5.94;0.72;0.6;0.87;0.97;1.63908;2.649846;0;fossorial
371;JR302;626;Genyophryne;thomsoni;Genyophryne thomsoni;m;29.17;13.03;10.81;7.43;12.58;8.94;13.58;8.01;5.57;6.3;0.69;0.7;0.8;1.01;1.7584;2.53712;0;fossorial
372;JR303;512;Genyophryne;thomsoni;Genyophryne thomsoni;m;30.81;13.03;11.61;7.72;13.89;9.9;15.37;8.3;6.88;7.85;0.62;0.64;0.78;0.98;1.567488;2.400216;0;fossorial
373;JR304;511;Genyophryne;thomsoni;Genyophryne thomsoni;m;25.89;12.18;10.68;7.14;12.08;8.37;13.19;7.63;6.39;6.52;0.53;0.56;0.74;0.82;1.301216;1.905352;0;fossorial
206;JR104;256;Hylophorbus;rufescens;Hylophorbus rufescens;m;28.03;13.65;15.45;8.75;15.4;7.98;9.72;8.99;7.5;7.47;0.37;0.47;0.5;0.83;0.7379;1.3031;0;terrestrial
207;JR105;273;Hylophorbus;rufescens;Hylophorbus rufescens;m;28.37;14.39;15.56;8.96;15.71;9.88;10.44;8.89;8.18;7.59;0.5;0.63;0.4;0.72;0.79128;0.90432;0;terrestrial
211;JR110;274;Hylophorbus;rufescens;Hylophorbus rufescens;m;27.4;14.54;15.15;9.12;14.84;10.56;9.87;9.16;7.3;7.14;0.41;0.51;0.61;1.03;0.976854;1.972862;0;terrestrial
238;JR153;259;Hylophorbus;rufescens;Hylophorbus rufescens;m;29.39;13.03;16.6;9.05;15.05;9.45;10.23;9.6;7.77;7.6;0.57;0.64;0.7;1.04;1.40672;2.28592;0;terrestrial
258;JR176;375;Hylophorbus;rufescens;Hylophorbus rufescens;m;34.19;16.07;18.08;11.12;18.36;11.01;11.55;9.94;8.94;9.16;0.78;0.74;0.81;1.19;1.882116;3.026646;0;terrestrial
260;JR178;379;Hylophorbus;rufescens;Hylophorbus rufescens;m;33.57;15.62;17.35;9.94;17.2;10.7;10.86;9.69;8.33;8.75;0.41;0.71;0.59;1.02;1.315346;1.889652;3;terrestrial
267;JR187;384;Hylophorbus;rufescens;Hylophorbus rufescens;m;32.88;16.24;17.52;10.82;17.58;10.24;11.29;9.84;8.27;8.87;0.61;0.65;0.75;1.02;1.53075;2.4021;0;terrestrial
271;JR192;419;Hylophorbus;rufescens;Hylophorbus rufescens;na;33.08;16.01;16.69;10.68;16.28;10.12;11.47;9.19;8.33;8.01;0.41;0.7;0.67;1.16;1.47266;2.440408;0;terrestrial
272;JR194;397;Hylophorbus;rufescens;Hylophorbus rufescens;m;36.14;17.05;18.3;11.63;18.05;10.2;12.3;9.96;9.06;8.54;0.63;0.77;0.85;1.17;2.05513;3.12273;0;terrestrial
274;JR196;396;Hylophorbus;rufescens;Hylophorbus rufescens;f;41.81;19.24;20.35;12.41;19.92;11.71;14.69;11.78;9.2;9.5;0.67;0.97;0.72;1.34;2.192976;3.029472;0;terrestrial
276;JR198;418;Hylophorbus;rufescens;Hylophorbus rufescens;m;36.32;15.99;18.57;11.05;17.45;10.96;12.38;10.59;7.72;8.82;0.62;0.75;0.65;1.32;1.53075;2.69412;0;terrestrial
280;JR200;416;Hylophorbus;rufescens;Hylophorbus rufescens;m;33.46;17.59;17.67;10.46;14.07;8.71;12.36;10.23;7.51;8.77;0.51;0.77;0.82;1.14;1.982596;2.935272;0;terrestrial
282;JR202;417;Hylophorbus;rufescens;Hylophorbus rufescens;m;33.06;16.36;17.43;10.32;16.92;10.78;10.92;9.7;8.28;8.94;0.48;0.71;0.62;1.05;1.382228;2.04414;0;terrestrial
284;JR204;420;Hylophorbus;rufescens;Hylophorbus rufescens;m;32.06;16.76;17.18;10.6;17.29;8.96;11.2;9.83;8.41;9.01;0.47;0.71;0.82;0.94;1.828108;2.420312;0;terrestrial
286;JR206;394;Hylophorbus;rufescens;Hylophorbus rufescens;f;43.92;20.59;22.65;13.86;22;13.83;14.54;12.81;12.24;11.32;0.58;0.94;0.76;1.38;2.243216;3.293232;0;terrestrial
288;JR208;398;Hylophorbus;rufescens;Hylophorbus rufescens;m;34.6;17.86;18.97;11.5;19.54;9.74;12.51;10.62;8.42;9.81;0.33;0.84;0.53;1;1.397928;1.6642;0;terrestrial
290;JR210;393;Hylophorbus;rufescens;Hylophorbus rufescens;m;36.19;17.5;18.59;11.64;18.65;11.54;12.76;10.33;8.28;9.45;0.51;0.8;0.53;1;1.33136;1.6642;0;terrestrial
294;JR221;399;Hylophorbus;rufescens;Hylophorbus rufescens;m;34.8;17.09;18.56;11.26;19;10.54;11.34;10.18;8.59;9.75;0.43;0.78;0.61;1.05;1.494012;2.01117;0;terrestrial
295;JR222;392;Hylophorbus;rufescens;Hylophorbus rufescens;f;36.83;18.41;19.71;12.17;20.05;11.34;12.43;11.78;10.26;9.67;0.63;0.83;0.54;1.18;1.407348;2.000808;0;terrestrial
310;JR238;437;Hylophorbus;rufescens;Hylophorbus rufescens;na;32.63;15.97;16.93;10.67;15.07;8.8;10.44;10.21;8.77;8.09;0.68;0.54;0.59;0.77;1.000404;1.426502;0;terrestrial
313;JR243;436;Hylophorbus;rufescens;Hylophorbus rufescens;m;41.49;19.8;20.47;12.58;19.17;11.43;13.29;11.21;10.13;9.81;0.67;0.76;0.56;0.84;1.336384;1.477056;0;terrestrial
323;JR252;438;Hylophorbus;rufescens;Hylophorbus rufescens;m;32.64;16.22;17.82;11.12;16.23;10.37;11.22;10;8.22;8.98;0.45;0.62;0.72;1.01;1.401696;2.283408;0;terrestrial
350;JR284;483;Hylophorbus;rufescens;Hylophorbus rufescens;m;34.63;16.73;18.24;11.32;17.24;10.74;10.67;11.5;8.84;8.46;0.52;0.74;0.75;1.01;1.7427;2.37855;0;terrestrial
379;JR31;319;Hylophorbus;rufescens;Hylophorbus rufescens;m;27.4;11.18;14.7;9.33;14.72;7.65;9.53;8.53;5.96;7.29;0.49;0.65;0.62;1.1;1.26542;2.14148;0;terrestrial
390;JR32;323;Hylophorbus;rufescens;Hylophorbus rufescens;m;27.06;12.97;15.87;9.33;12.4;8.47;9.86;8.8;7.22;7.74;0.5;0.71;0.59;0.9;1.315346;1.66734;0;terrestrial
412;JR34;332;Hylophorbus;rufescens;Hylophorbus rufescens;m;28.31;12.79;15.97;9.51;15.71;9.17;10.53;8.85;6.87;7.57;0.93;0.85;0.76;1.22;2.02844;2.911408;0;terrestrial
453;JR38;337;Hylophorbus;rufescens;Hylophorbus rufescens;na;27.01;13.58;14.96;8.85;14.4;8.61;9.6;8.28;5.52;6.06;0.65;0.63;0.9;1.08;1.78038;3.05208;0;terrestrial
487;JR41;346;Hylophorbus;rufescens;Hylophorbus rufescens;m;27.56;14.24;14.96;8.4;12.29;9.28;10.14;8.26;7.02;6.88;0.71;0.87;0.63;1.23;1.721034;2.433186;0;terrestrial
504;JR43;298;Hylophorbus;rufescens;Hylophorbus rufescens;m;29.22;13.49;15.92;9.44;15.61;9.29;9.17;8.96;6.4;7.58;0.81;0.71;1.01;1.34;2.251694;4.249676;0;terrestrial
506;JR45;336;Hylophorbus;rufescens;Hylophorbus rufescens;m;30.46;13.38;16.74;9.15;16.34;9.11;10.62;8.87;7.02;7.98;1.06;0.84;0.84;1.09;2.215584;2.874984;0;terrestrial
518;JR57;287;Hylophorbus;rufescens;Hylophorbus rufescens;m;25.34;13.57;14.33;8.68;13.38;8.15;9.33;7.92;6.31;7.33;0.6;0.59;0.46;0.99;0.852196;1.429956;0;terrestrial
519;JR58;228;Hylophorbus;rufescens;Hylophorbus rufescens;na;28.64;14.14;15.5;8.8;13.52;8.56;9.56;8.64;6.62;7.74;0.58;0.64;1.03;1.26;2.069888;4.075092;0;terrestrial
520;JR59;278;Hylophorbus;rufescens;Hylophorbus rufescens;m;31.69;14.25;16.42;9.76;16.54;9.6;10.46;9.71;7.58;7.99;0.61;1.04;0.84;0.89;2.743104;2.347464;0;terrestrial
521;JR6;294;Hylophorbus;rufescens;Hylophorbus rufescens;f;27.6;14.68;15.43;9.27;14.83;8.75;9.87;8.53;6.88;7.31;0.66;0.81;1.03;1.09;2.619702;3.525278;0;terrestrial
523;JR61;261;Hylophorbus;rufescens;Hylophorbus rufescens;f;30.32;14.52;15.41;8.99;15.28;8.39;10.29;8.35;6.83;7.72;0.51;0.65;0.72;1.24;1.46952;2.803392;0;terrestrial
551;JR90;246;Hylophorbus;rufescens;Hylophorbus rufescens;m;28.3;14.43;15.36;9.33;15.47;9.78;10.37;9.14;8.61;7.03;0.42;0.54;0.63;1.15;1.068228;2.27493;0;terrestrial
552;JR91;258;Hylophorbus;rufescens;Hylophorbus rufescens;m;25.05;14.12;15.77;9.25;12.91;9.46;8.74;8.71;7.93;7.89;0.21;0.39;0.3;0.54;0.36738;0.50868;0;terrestrial
556;JR95;271;Hylophorbus;rufescens;Hylophorbus rufescens;m;29.16;14.18;15.84;9.34;14.44;9.11;10.28;9.38;7.12;7.82;0.5;0.7;0.46;0.66;1.01108;0.953304;0;terrestrial
55;16698;32;Hylophorbus;sp;Hylophorbus sp;m;31.86;16.65;18.01;10.71;17.19;9.17;11.35;9.6;7.28;8.97;0.88;0.88;1.1;1.39;3.03952;4.80106;0;terrestrial
60;17781;74;Hylophorbus;sp;Hylophorbus sp;m;25.78;14.17;15.2;9.24;15.27;7.6;10.02;7.77;7.88;7.01;0.65;0.75;0.89;1.11;2.09595;3.102006;0;terrestrial
61;17782;120;Hylophorbus;sp;Hylophorbus sp;f;32.26;17.14;17.42;11.14;16.95;8.69;11.17;8.26;8.94;9.05;0.9;0.9;1.38;1.36;3.89988;5.893152;0;terrestrial
62;17783;121;Hylophorbus;sp;Hylophorbus sp;m;33.02;16.68;17.94;10.57;17.46;9.41;10.78;9.3;7.97;9.18;0.8;0.85;1.03;1.27;2.74907;4.107434;0;terrestrial
63;17784;125;Hylophorbus;sp;Hylophorbus sp;f;35.78;18.22;19.29;11.43;18.12;10.02;11.06;9.52;8.87;9.33;0.77;0.76;0.99;1.14;2.362536;3.543804;0;terrestrial
151;242315;15;Hylophorbus;sp;Hylophorbus sp;f;32.41;16.8;17.97;10.69;17.42;9.46;10.68;9.69;7.71;8.68;0.95;0.91;1.01;1.38;2.885974;4.376532;0;terrestrial
152;242316;39;Hylophorbus;sp;Hylophorbus sp;m;33.29;16.96;17.92;11.05;17.91;9.3;11.26;9.67;9.07;8.94;0.96;0.96;1.27;1.2;3.828288;4.78536;0;terrestrial
153;242317;4;Hylophorbus;sp;Hylophorbus sp;m;32.23;16.57;18.32;10.55;17.52;9.38;11.35;8.99;7.98;9.16;0.87;0.73;0.95;1.08;2.17759;3.22164;0;terrestrial
154;242318;8;Hylophorbus;sp;Hylophorbus sp;m;32.72;16.39;18.76;10.65;19.31;9.26;10.42;9.17;8.07;9.37;0.78;0.95;1.11;1.44;3.31113;5.018976;0;terrestrial
155;242319;2;Hylophorbus;sp;Hylophorbus sp;m;31.91;16.48;18.11;10.49;17.46;9.28;10.62;9.55;9.78;9.04;0.66;0.91;1.1;1.2;3.14314;4.1448;0;terrestrial
156;242320;10;Hylophorbus;sp;Hylophorbus sp;m;33.96;17.79;18.77;11.52;19.12;9.58;10.64;8.41;7.74;9.09;0.95;0.94;1.31;1.53;3.866596;6.293502;0;terrestrial
157;242321;25;Hylophorbus;sp;Hylophorbus sp;m;34.94;17.31;18.49;10.92;19.02;10.08;11.62;9.65;8.02;9.31;0.96;0.96;1.27;1.64;3.828288;6.539992;0;terrestrial
158;242322;23;Hylophorbus;sp;Hylophorbus sp;m;33.65;16.73;17.65;10.31;18.07;8.67;11.02;10.53;7.76;9.32;0.76;0.79;1;1.44;2.4806;4.5216;0;terrestrial
159;242323;24;Hylophorbus;sp;Hylophorbus sp;f;41.49;19.53;21.49;13.25;20.88;10.14;12.19;12.38;9.27;10.76;0.87;0.98;1.07;1.49;3.292604;5.006102;0;terrestrial
160;242324;28;Hylophorbus;sp;Hylophorbus sp;f;37.2;17.84;18.88;11.11;19.79;10.01;11.37;10.73;8.23;9.97;0.89;1.18;1.09;1.53;4.038668;5.236578;0;terrestrial
161;242325;30;Hylophorbus;sp;Hylophorbus sp;m;36.18;17.61;17.83;11.03;17.15;9.68;11.02;10.36;7.88;8.99;0.82;1.01;1.21;1.61;3.837394;6.117034;0;terrestrial
162;242326;31;Hylophorbus;sp;Hylophorbus sp;m;35.26;16.55;17.85;11;18.43;9.33;11.29;10.4;7.12;9.01;0.8;0.87;1.15;1.32;3.14157;4.76652;0;terrestrial
163;242327;40;Hylophorbus;sp;Hylophorbus sp;m;34.36;17.36;18.43;11.36;18.67;9.06;11.79;10.63;8.42;9.5;0.74;0.84;0.96;1.43;2.532096;4.310592;0;terrestrial
164;242328;48;Hylophorbus;sp;Hylophorbus sp;m;32.46;16.02;16.93;9.93;16.35;9.17;11.17;9.03;7.28;8.5;0.78;0.93;1.17;1.34;3.416634;4.922892;0;terrestrial
165;242329;62;Hylophorbus;sp;Hylophorbus sp;m;25.64;13.03;14.44;8.55;13.73;7.49;8.3;7.91;5.88;7.08;0.47;0.55;0.57;1.01;0.98439;1.807698;0;terrestrial
360;JR293;558;Hylophorbus;sp;Hylophorbus sp;m;33.4;18.17;18.65;11.28;18.37;10.05;11.14;10.75;7.71;9.87;0.55;0.71;0.71;0.99;1.582874;2.207106;0;terrestrial
374;JR305;556;Hylophorbus;sp;Hylophorbus sp;m;31.86;14.13;17.81;10.05;16.81;8.93;10.88;9.85;8.89;8.79;0.59;0.63;0.78;1.11;1.542996;2.718612;0;terrestrial
375;JR306;557;Hylophorbus;sp;Hylophorbus sp;f;39.14;18.86;20.77;11.94;19.96;12.65;13.67;11.87;9.47;10.82;0.72;1;0.95;1.59;2.983;4.74297;0;terrestrial
376;JR307;514;Hylophorbus;sp;Hylophorbus sp;na;33.41;16.05;18.58;11.36;18.14;10.53;11.64;10.78;8.55;9.36;0.59;0.72;0.94;1.21;2.125152;3.571436;0;terrestrial
377;JR308;515;Hylophorbus;sp;Hylophorbus sp;na;36.26;17.96;18.8;11.67;18.76;10.33;12.23;10.68;9.07;9.02;0.64;0.82;0.93;1.31;2.394564;3.825462;0;terrestrial
378;JR309;503;Hylophorbus;sp;Hylophorbus sp;f;31.83;15.24;16.9;10.75;16.85;10.52;11.41;9.52;8.08;8.47;0.66;0.71;0.73;1.06;1.627462;2.429732;0;terrestrial
380;JR310;513;Hylophorbus;sp;Hylophorbus sp;m;31.73;16.66;17.89;10.19;17.85;9.39;11.4;10.38;7.67;9.17;0.71;0.77;0.78;1.12;1.885884;2.743104;0;terrestrial
381;JR311;502;Hylophorbus;sp;Hylophorbus sp;m;36.55;19.57;20.14;11.55;19.63;10.81;12.82;11.38;9.48;10.32;0.74;0.75;0.84;1.19;1.9782;3.138744;0;terrestrial
382;JR312;501;Hylophorbus;sp;Hylophorbus sp;m;35.97;17.06;18.58;11.45;18.78;10.99;11.89;10.51;9.83;8.82;0.56;0.68;1.06;1.36;2.263312;4.526624;0;terrestrial
383;JR313;500;Hylophorbus;sp;Hylophorbus sp;m;35.43;17.65;20.05;11.98;19.77;11.2;12.14;11.1;8.08;10.2;0.79;0.83;1.13;1.29;2.945006;4.577178;0;terrestrial
384;JR314;560;Hylophorbus;sp;Hylophorbus sp;m;35.91;17.97;18.94;12.13;18.4;10.42;11.68;11.07;9.82;9.91;0.66;0.81;0.96;1.24;2.441664;3.737856;0;terrestrial
385;JR315;559;Hylophorbus;sp;Hylophorbus sp;na;40.54;19.13;21.61;12.29;20.19;11.66;13.16;12.77;10.82;9.5;0.56;0.76;0.93;1.28;2.219352;3.737856;0;terrestrial
386;JR316;628;Hylophorbus;sp;Hylophorbus sp;m;33.84;16.89;18.89;11.52;17.87;10.66;11.75;10.88;9.31;9.25;0.68;0.79;0.93;1.1;2.306958;3.21222;0;terrestrial
387;JR317;602;Hylophorbus;sp;Hylophorbus sp;m;37.3;18.71;19.5;11.91;19.28;11.82;13.06;11.3;8.36;9.72;0.58;0.79;1.02;1.25;2.530212;4.0035;0;terrestrial
388;JR318;601;Hylophorbus;sp;Hylophorbus sp;na;34.78;18.05;18.99;11.36;19.46;10.76;12.14;10.98;8.87;9.48;0.4;0.54;0.89;1.16;1.509084;3.241736;0;terrestrial
389;JR319;629;Hylophorbus;sp;Hylophorbus sp;m;39.65;18.2;20.66;11.61;20.8;13.3;12.94;10.47;8.72;10.57;0.66;0.92;0.76;1.41;2.195488;3.364824;0;terrestrial
391;JR320;600;Hylophorbus;sp;Hylophorbus sp;na;35.57;18.3;19.1;11.68;18.83;10.89;12.03;11.44;9.45;9.15;0.76;0.79;0.84;1.35;2.083704;3.56076;0;terrestrial
392;JR321;599;Hylophorbus;sp;Hylophorbus sp;na;43.52;22.28;23.77;13.58;22.91;12.87;15.34;13.69;11.74;11.14;0.86;1.1;1.14;1.56;3.93756;5.584176;0;terrestrial
393;JR322;598;Hylophorbus;sp;Hylophorbus sp;na;35.15;16.41;18.85;11.79;19.37;10.45;11.92;11.04;8.89;9.01;0.48;0.75;0.94;1.12;2.2137;3.305792;0;terrestrial
394;JR323;597;Hylophorbus;sp;Hylophorbus sp;na;35.41;17.94;20.06;11.89;20.14;11.75;11.97;11.57;9.72;9.87;0.64;0.8;0.86;1.13;2.16032;3.051452;0;terrestrial
395;JR324;595;Hylophorbus;sp;Hylophorbus sp;f;37.89;19.98;20.91;12.47;21.82;11.3;13.39;11.3;10.9;10.75;0.55;0.74;0.92;1.26;2.137712;3.639888;0;terrestrial
396;JR325;604;Hylophorbus;sp;Hylophorbus sp;m;36.45;17.85;18.17;11.29;18.47;11.73;12.66;10.18;8.86;9.97;0.59;0.8;0.95;1.33;2.3864;3.96739;0;terrestrial
397;JR326;603;Hylophorbus;sp;Hylophorbus sp;m;37.01;17.58;18.6;11;17.56;12.17;12.87;10.48;9.46;9.18;0.73;0.87;0.89;1.18;2.431302;3.297628;0;terrestrial
64;17785;109;Liophryne;dentata;Liophryne dentata;m;25.37;13.76;14.28;9.22;13.71;8.09;10.72;7.42;6.61;5.86;0.95;0.83;1.24;1.21;3.231688;4.711256;0;terrestrial
65;17786;116;Liophryne;dentata;Liophryne dentata;m;26.78;13.64;14.86;9.56;14.33;8.07;11.21;7.74;6.18;6.23;0.67;0.69;0.96;1.16;2.079936;3.496704;0;terrestrial
66;17787;126;Liophryne;dentata;Liophryne dentata;m;28.23;14.23;15.67;9.64;15.85;9.18;11.59;8.28;7.67;7.02;0.79;0.84;0.96;1.31;2.532096;3.948864;0;terrestrial
67;17788;147;Liophryne;dentata;Liophryne dentata;m;30.13;14.14;16.65;10.12;15;9.19;12.14;8.9;7.42;6.8;0.66;0.73;1.17;1.26;2.681874;4.628988;0;terrestrial
